run_name,depth,architecture,replicate,checkpoint_step
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,5000
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,10000
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,15000
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,20000
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,25000
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,30000
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,35000
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,40000
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,5000
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,10000
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,15000
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,20000
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,25000
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,30000
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,35000
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,40000
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,5000
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,10000
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,15000
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,20000
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,25000
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,30000
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,35000
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,40000
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,5000
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,10000
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,15000
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,20000
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,25000
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,30000
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,35000
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,40000
exp_07_tms_5_2_4layer_tied_rep1,4,tied,1,5000
exp_07_tms_5_2_4layer_tied_rep1,4,tied,1,10000
exp_07_tms_5_2_4layer_tied_rep1,4,tied,1,15000
exp_07_tms_5_2_4layer_tied_rep1,4,tied,1,20000
exp_07_tms_5_2_4layer_tied_rep1,4,tied,1,25000
exp_07_tms_5_2_4layer_tied_rep1,4,tied,1,30000
exp_07_tms_5_2_4layer_tied_rep1,4,tied,1,35000
exp_07_tms_5_2_4layer_tied_rep1,4,tied,1,40000
exp_07_tms_5_2_4layer_untied_rep1,4,untied,1,5000
exp_07_tms_5_2_4layer_untied_rep1,4,untied,1,10000
exp_07_tms_5_2_4layer_untied_rep1,4,untied,1,15000
exp_07_tms_5_2_4layer_untied_rep1,4,untied,1,20000
exp_07_tms_5_2_4layer_untied_rep1,4,untied,1,25000
exp_07_tms_5_2_4layer_untied_rep1,4,untied,1,30000
exp_07_tms_5_2_4layer_untied_rep1,4,untied,1,35000
exp_07_tms_5_2_4layer_untied_rep1,4,untied,1,40000
exp_07_tms_5_2_5layer_tied_rep1,5,tied,1,5000
exp_07_tms_5_2_5layer_tied_rep1,5,tied,1,10000
exp_07_tms_5_2_5layer_tied_rep1,5,tied,1,15000
exp_07_tms_5_2_5layer_tied_rep1,5,tied,1,20000
exp_07_tms_5_2_5layer_tied_rep1,5,tied,1,25000
exp_07_tms_5_2_5layer_tied_rep1,5,tied,1,30000
exp_07_tms_5_2_5layer_tied_rep1,5,tied,1,35000
exp_07_tms_5_2_5layer_tied_rep1,5,tied,1,40000
exp_07_tms_5_2_5layer_untied_rep1,5,untied,1,5000
exp_07_tms_5_2_5layer_untied_rep1,5,untied,1,10000
exp_07_tms_5_2_5layer_untied_rep1,5,untied,1,15000
exp_07_tms_5_2_5layer_untied_rep1,5,untied,1,20000
exp_07_tms_5_2_5layer_untied_rep1,5,untied,1,25000
exp_07_tms_5_2_5layer_untied_rep1,5,untied,1,30000
exp_07_tms_5_2_5layer_untied_rep1,5,untied,1,35000
exp_07_tms_5_2_5layer_untied_rep1,5,untied,1,40000
exp_07_tms_5_2_6layer_tied_rep1,6,tied,1,5000
exp_07_tms_5_2_6layer_tied_rep1,6,tied,1,10000
exp_07_tms_5_2_6layer_tied_rep1,6,tied,1,15000
exp_07_tms_5_2_6layer_tied_rep1,6,tied,1,20000
exp_07_tms_5_2_6layer_tied_rep1,6,tied,1,25000
exp_07_tms_5_2_6layer_tied_rep1,6,tied,1,30000
exp_07_tms_5_2_6layer_tied_rep1,6,tied,1,35000
exp_07_tms_5_2_6layer_tied_rep1,6,tied,1,40000
exp_07_tms_5_2_6layer_untied_rep1,6,untied,1,5000
exp_07_tms_5_2_6layer_untied_rep1,6,untied,1,10000
exp_07_tms_5_2_6layer_untied_rep1,6,untied,1,15000
exp_07_tms_5_2_6layer_untied_rep1,6,untied,1,20000
exp_07_tms_5_2_6layer_untied_rep1,6,untied,1,25000
exp_07_tms_5_2_6layer_untied_rep1,6,untied,1,30000
exp_07_tms_5_2_6layer_untied_rep1,6,untied,1,35000
exp_07_tms_5_2_6layer_untied_rep1,6,untied,1,40000
