layer_name,target_fro_norm,raw_fro_norm,delta_fro_norm,raw_fro_ratio,delta_fro_ratio,raw_spectral_ratio,faithfulness_mse,target_singular_values,raw_singular_values,run_name,depth,architecture,replicate,checkpoint_step,top1_component_strength_frac,top3_component_strength_frac,raw_under_scaling_gap,delta_support_gap
linear1,2.532642364501953,2.5391204357147217,0.012483121827244759,1.0025578737258911,0.004928892478346825,1.003194808959961,1.558283474878408e-05,"[1.7944810390472412, 1.7872087955474854]","[1.8002140522003174, 1.7906317710876465]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,5000,0.1979946792125702,0.5908690690994263,-0.0025578737258911133,0.004928892478346825
linear2,2.532642364501953,2.5391204357147217,0.012483121827244759,1.0025578737258911,0.004928892478346825,1.0031946897506714,1.558283474878408e-05,"[1.7944811582565308, 1.7872086763381958]","[1.8002140522003174, 1.7906321287155151]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,5000,0.1979946792125702,0.5908690690994263,-0.0025578737258911133,0.004928892478346825
linear1,2.532642364501953,2.5349724292755127,0.007270903326570988,1.000920057296753,0.0028708763420581818,0.999236524105072,5.286603027343517e-06,"[1.7944810390472412, 1.7872087955474854]","[1.793110966682434, 1.7918813228607178]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,10000,0.19764864444732666,0.5916195511817932,-0.0009200572967529297,0.0028708763420581818
linear2,2.532642364501953,2.5349724292755127,0.007270903326570988,1.000920057296753,0.0028708763420581818,0.9992363452911377,5.286603027343517e-06,"[1.7944811582565308, 1.7872086763381958]","[1.7931108474731445, 1.7918813228607178]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,10000,0.19764864444732666,0.5916195511817932,-0.0009200572967529297,0.0028708763420581818
linear1,2.532642364501953,2.5362675189971924,0.01724092848598957,1.0014313459396362,0.006807486526668072,1.002246618270874,2.9724964406341314e-05,"[1.7944810390472412, 1.7872087955474854]","[1.798512578010559, 1.7882969379425049]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,15000,0.19803230464458466,0.5920588374137878,-0.0014313459396362305,0.006807486526668072
linear2,2.532642364501953,2.5362675189971924,0.01724092848598957,1.0014313459396362,0.006807486526668072,1.002246618270874,2.9724964406341314e-05,"[1.7944811582565308, 1.7872086763381958]","[1.798512578010559, 1.788297176361084]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,15000,0.19803230464458466,0.5920588374137878,-0.0014313459396362305,0.006807486526668072
linear1,2.532642364501953,2.5361504554748535,0.00896068848669529,1.0013850927352905,0.003538078861311078,1.0023890733718872,8.029392120079137e-06,"[1.7944810390472412, 1.7872087955474854]","[1.7987682819366455, 1.7878738641738892]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,20000,0.1974184513092041,0.5910156965255737,-0.0013850927352905273,0.003538078861311078
linear2,2.532642364501953,2.5361506938934326,0.00896068848669529,1.00138521194458,0.003538078861311078,1.0023890733718872,8.02939302957384e-06,"[1.7944811582565308, 1.7872086763381958]","[1.7987682819366455, 1.7878738641738892]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,20000,0.1974184513092041,0.5910156965255737,-0.0013852119445800781,0.003538078861311078
linear1,2.532642364501953,2.53951358795166,0.011600643396377563,1.0027130842208862,0.004580450709909201,1.00347900390625,1.3457492059387732e-05,"[1.7944810390472412, 1.7872087955474854]","[1.8007241487503052, 1.790676474571228]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,25000,0.19818207621574402,0.5915394425392151,-0.0027130842208862305,0.004580450709909201
linear2,2.532642364501953,2.53951358795166,0.011600643396377563,1.0027130842208862,0.004580450709909201,1.0034788846969604,1.3457492059387732e-05,"[1.7944811582565308, 1.7872086763381958]","[1.8007240295410156, 1.7906765937805176]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,25000,0.19818206131458282,0.5915394425392151,-0.0027130842208862305,0.004580450709909201
