run_name,architecture,depth,layer_name,threshold,first_checkpoint_below_threshold
exp_07_tms_5_2_2layer_tied_rep1,tied,2,linear1,0.95,
exp_07_tms_5_2_2layer_tied_rep1,tied,2,linear1,0.9,
exp_07_tms_5_2_2layer_tied_rep1,tied,2,linear1,0.8,
exp_07_tms_5_2_2layer_tied_rep1,tied,2,linear2,0.95,
exp_07_tms_5_2_2layer_tied_rep1,tied,2,linear2,0.9,
exp_07_tms_5_2_2layer_tied_rep1,tied,2,linear2,0.8,
exp_07_tms_5_2_2layer_untied_rep1,untied,2,linear1,0.95,
exp_07_tms_5_2_2layer_untied_rep1,untied,2,linear1,0.9,
exp_07_tms_5_2_2layer_untied_rep1,untied,2,linear1,0.8,
exp_07_tms_5_2_2layer_untied_rep1,untied,2,linear2,0.95,
exp_07_tms_5_2_2layer_untied_rep1,untied,2,linear2,0.9,
exp_07_tms_5_2_2layer_untied_rep1,untied,2,linear2,0.8,
exp_07_tms_5_2_3layer_tied_rep1,tied,3,hidden_layers.0,0.95,
exp_07_tms_5_2_3layer_tied_rep1,tied,3,hidden_layers.0,0.9,
exp_07_tms_5_2_3layer_tied_rep1,tied,3,hidden_layers.0,0.8,
exp_07_tms_5_2_3layer_tied_rep1,tied,3,linear1,0.95,
exp_07_tms_5_2_3layer_tied_rep1,tied,3,linear1,0.9,
exp_07_tms_5_2_3layer_tied_rep1,tied,3,linear1,0.8,
exp_07_tms_5_2_3layer_tied_rep1,tied,3,linear2,0.95,
exp_07_tms_5_2_3layer_tied_rep1,tied,3,linear2,0.9,
exp_07_tms_5_2_3layer_tied_rep1,tied,3,linear2,0.8,
exp_07_tms_5_2_3layer_untied_rep1,untied,3,hidden_layers.0,0.95,
exp_07_tms_5_2_3layer_untied_rep1,untied,3,hidden_layers.0,0.9,
exp_07_tms_5_2_3layer_untied_rep1,untied,3,hidden_layers.0,0.8,
exp_07_tms_5_2_3layer_untied_rep1,untied,3,linear1,0.95,
exp_07_tms_5_2_3layer_untied_rep1,untied,3,linear1,0.9,
exp_07_tms_5_2_3layer_untied_rep1,untied,3,linear1,0.8,
exp_07_tms_5_2_3layer_untied_rep1,untied,3,linear2,0.95,
exp_07_tms_5_2_3layer_untied_rep1,untied,3,linear2,0.9,
exp_07_tms_5_2_3layer_untied_rep1,untied,3,linear2,0.8,
exp_07_tms_5_2_4layer_tied_rep1,tied,4,hidden_layers.0,0.95,
exp_07_tms_5_2_4layer_tied_rep1,tied,4,hidden_layers.0,0.9,
exp_07_tms_5_2_4layer_tied_rep1,tied,4,hidden_layers.0,0.8,
exp_07_tms_5_2_4layer_tied_rep1,tied,4,hidden_layers.1,0.95,
exp_07_tms_5_2_4layer_tied_rep1,tied,4,hidden_layers.1,0.9,
exp_07_tms_5_2_4layer_tied_rep1,tied,4,hidden_layers.1,0.8,
exp_07_tms_5_2_4layer_tied_rep1,tied,4,linear1,0.95,
exp_07_tms_5_2_4layer_tied_rep1,tied,4,linear1,0.9,
exp_07_tms_5_2_4layer_tied_rep1,tied,4,linear1,0.8,
exp_07_tms_5_2_4layer_tied_rep1,tied,4,linear2,0.95,
exp_07_tms_5_2_4layer_tied_rep1,tied,4,linear2,0.9,
exp_07_tms_5_2_4layer_tied_rep1,tied,4,linear2,0.8,
exp_07_tms_5_2_4layer_untied_rep1,untied,4,hidden_layers.0,0.95,
exp_07_tms_5_2_4layer_untied_rep1,untied,4,hidden_layers.0,0.9,
exp_07_tms_5_2_4layer_untied_rep1,untied,4,hidden_layers.0,0.8,
exp_07_tms_5_2_4layer_untied_rep1,untied,4,hidden_layers.1,0.95,
exp_07_tms_5_2_4layer_untied_rep1,untied,4,hidden_layers.1,0.9,
exp_07_tms_5_2_4layer_untied_rep1,untied,4,hidden_layers.1,0.8,
exp_07_tms_5_2_4layer_untied_rep1,untied,4,linear1,0.95,
exp_07_tms_5_2_4layer_untied_rep1,untied,4,linear1,0.9,
exp_07_tms_5_2_4layer_untied_rep1,untied,4,linear1,0.8,
exp_07_tms_5_2_4layer_untied_rep1,untied,4,linear2,0.95,
exp_07_tms_5_2_4layer_untied_rep1,untied,4,linear2,0.9,
exp_07_tms_5_2_4layer_untied_rep1,untied,4,linear2,0.8,
exp_07_tms_5_2_5layer_tied_rep1,tied,5,hidden_layers.0,0.95,
exp_07_tms_5_2_5layer_tied_rep1,tied,5,hidden_layers.0,0.9,
exp_07_tms_5_2_5layer_tied_rep1,tied,5,hidden_layers.0,0.8,
exp_07_tms_5_2_5layer_tied_rep1,tied,5,hidden_layers.1,0.95,
exp_07_tms_5_2_5layer_tied_rep1,tied,5,hidden_layers.1,0.9,
exp_07_tms_5_2_5layer_tied_rep1,tied,5,hidden_layers.1,0.8,
exp_07_tms_5_2_5layer_tied_rep1,tied,5,hidden_layers.2,0.95,
exp_07_tms_5_2_5layer_tied_rep1,tied,5,hidden_layers.2,0.9,
exp_07_tms_5_2_5layer_tied_rep1,tied,5,hidden_layers.2,0.8,
