analysis_json_path,run_name,depth,architecture,replicate,suffix,spd_run_dir,target_run_path,checkpoint_steps
/workspace/spd/spd_out/parameter_recovery/results/exp_07_tms_5_2_2layer_tied_rep1_20260409_173726_parameter_recovery_analysis.json,exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,,/workspace/spd/spd_out/spd/s-1a6a6016,/workspace/spd/spd_out/train/t-611324ea/tms.pth,"[5000, 10000, 15000, 20000, 25000, 30000, 35000, 40000]"
/workspace/spd/spd_out/parameter_recovery/results/exp_07_tms_5_2_2layer_untied_rep1_20260409_183028_parameter_recovery_analysis.json,exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,,/workspace/spd/spd_out/spd/s-d071015e,/workspace/spd/spd_out/train/t-41bbff1d/tms.pth,"[5000, 10000, 15000, 20000, 25000, 30000, 35000, 40000]"
/workspace/spd/spd_out/parameter_recovery/results/exp_07_tms_5_2_3layer_tied_rep1_20260409_193104_parameter_recovery_analysis.json,exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,,/workspace/spd/spd_out/spd/s-254ed64a,/workspace/spd/spd_out/train/t-28204048/tms.pth,"[5000, 10000, 15000, 20000, 25000, 30000, 35000, 40000]"
/workspace/spd/spd_out/parameter_recovery/results/exp_07_tms_5_2_3layer_untied_rep1_20260409_204557_parameter_recovery_analysis.json,exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,,/workspace/spd/spd_out/spd/s-5d701ba4,/workspace/spd/spd_out/train/t-5fc17f3e/tms.pth,"[5000, 10000, 15000, 20000, 25000, 30000, 35000, 40000]"
/workspace/spd/spd_out/parameter_recovery/results/exp_07_tms_5_2_4layer_tied_rep1_20260409_220913_parameter_recovery_analysis.json,exp_07_tms_5_2_4layer_tied_rep1,4,tied,1,,/workspace/spd/spd_out/spd/s-e64b7663,/workspace/spd/spd_out/train/t-453c6af9/tms.pth,"[5000, 10000, 15000, 20000, 25000, 30000, 35000, 40000]"
/workspace/spd/spd_out/parameter_recovery/results/exp_07_tms_5_2_4layer_untied_rep1_20260409_234646_parameter_recovery_analysis.json,exp_07_tms_5_2_4layer_untied_rep1,4,untied,1,,/workspace/spd/spd_out/spd/s-d37eed26,/workspace/spd/spd_out/train/t-b6017a08/tms.pth,"[5000, 10000, 15000, 20000, 25000, 30000, 35000, 40000]"
/workspace/spd/spd_out/parameter_recovery/results/exp_07_tms_5_2_5layer_tied_rep1_20260410_013051_parameter_recovery_analysis.json,exp_07_tms_5_2_5layer_tied_rep1,5,tied,1,,/workspace/spd/spd_out/spd/s-c2b94d03,/workspace/spd/spd_out/train/t-67b754ef/tms.pth,"[5000, 10000, 15000, 20000, 25000, 30000, 35000, 40000]"
/workspace/spd/spd_out/parameter_recovery/results/exp_07_tms_5_2_5layer_untied_rep1_20260410_032739_parameter_recovery_analysis.json,exp_07_tms_5_2_5layer_untied_rep1,5,untied,1,,/workspace/spd/spd_out/spd/s-dcf922fe,/workspace/spd/spd_out/train/t-2eb410fb/tms.pth,"[5000, 10000, 15000, 20000, 25000, 30000, 35000, 40000]"
/workspace/spd/spd_out/parameter_recovery/results/exp_07_tms_5_2_6layer_tied_rep1_20260410_052539_parameter_recovery_analysis.json,exp_07_tms_5_2_6layer_tied_rep1,6,tied,1,,/workspace/spd/spd_out/spd/s-18d68bf8,/workspace/spd/spd_out/train/t-35210e0a/tms.pth,"[5000, 10000, 15000, 20000, 25000, 30000, 35000, 40000]"
/workspace/spd/spd_out/parameter_recovery/results/exp_07_tms_5_2_6layer_untied_rep1_20260410_072730_parameter_recovery_analysis.json,exp_07_tms_5_2_6layer_untied_rep1,6,untied,1,,/workspace/spd/spd_out/spd/s-308342d1,/workspace/spd/spd_out/train/t-00029874/tms.pth,"[5000, 10000, 15000, 20000, 25000, 30000, 35000, 40000]"
